
#天津,#genre#
天津都市,http://xuys.top:8888/udp/225.1.1.128:5002 -- 0.38 MB/s
河东卫视,http://221.198.178.254:8888/udp/225.1.2.2:5002 -- 0.25 MB/s
河东卫视,http://xuys.top:8888/udp/225.1.2.2:5002 -- 0.06 MB/s
河东卫视,http://xushining.com:50000/udp/225.1.2.2:5002 -- 0.24 MB/s
河东卫视,http://60.26.60.130:8000/udp/225.1.2.2:5002 -- 0.05 MB/s
河东卫视,http://home.techua.net:8000/udp/225.1.2.2:5002 -- 0.14 MB/s
河东卫视,http://ycnas.zixi.ltd:8888/udp/225.1.2.2:5002 -- 0.25 MB/s
河西卫视,http://221.198.178.254:8888/udp/225.1.2.4:5002 -- 0.15 MB/s
河西卫视,http://xushining.com:50000/udp/225.1.2.4:5002 -- 0.11 MB/s
河西卫视,http://60.26.60.130:8000/udp/225.1.2.4:5002 -- 0.00 MB/s
河西卫视,http://ycnas.zixi.ltd:8888/udp/225.1.2.4:5002 -- 0.26 MB/s
河西卫视,http://xuys.top:8888/udp/225.1.2.4:5002 -- 0.21 MB/s
河西卫视,http://home.techua.net:8000/udp/225.1.2.4:5002 -- 0.18 MB/s
滨海1,http://home.techua.net:8000/udp/225.1.2.7:5002 -- 0.05 MB/s
滨海1,http://ycnas.zixi.ltd:8888/udp/225.1.2.7:5002 -- 0.16 MB/s
滨海1,http://xuys.top:8888/udp/225.1.2.7:5002 -- 0.25 MB/s
滨海1,http://xushining.com:50000/udp/225.1.2.7:5002 -- 0.25 MB/s
滨海1,http://60.26.60.130:8000/udp/225.1.2.7:5002 -- 0.23 MB/s
滨海1,http://221.198.178.254:8888/udp/225.1.2.7:5002 -- 0.26 MB/s
滨海2,http://60.26.60.130:8000/udp/225.1.2.8:5002 -- 0.24 MB/s
滨海2,http://xuys.top:8888/udp/225.1.2.8:5002 -- 0.02 MB/s
滨海2,http://home.techua.net:8000/udp/225.1.2.8:5002 -- 0.00 MB/s
滨海2,http://221.198.178.254:8888/udp/225.1.2.8:5002 -- 0.25 MB/s
滨海2,http://ycnas.zixi.ltd:8888/udp/225.1.2.8:5002 -- 0.20 MB/s
滨海2,http://xushining.com:50000/udp/225.1.2.8:5002 -- 0.24 MB/s
蓟州卫视,http://xushining.com:50000/udp/225.1.1.82:5002 -- 0.00 MB/s
蓟州卫视,http://xuys.top:8888/udp/225.1.1.82:5002 -- 0.40 MB/s
蓟州卫视,http://60.26.60.130:8000/udp/225.1.1.82:5002 -- 0.07 MB/s
蓟州卫视,http://home.techua.net:8000/udp/225.1.1.82:5002 -- 0.21 MB/s
蓟州卫视,http://ycnas.zixi.ltd:8888/udp/225.1.1.82:5002 -- 0.08 MB/s
蓟州卫视,http://221.198.178.254:8888/udp/225.1.1.82:5002 -- 0.44 MB/s
静海卫视,http://221.198.178.254:8888/udp/225.1.1.110:5002 -- 0.24 MB/s
静海卫视,http://ycnas.zixi.ltd:8888/udp/225.1.1.110:5002 -- 0.24 MB/s
静海卫视,http://xushining.com:50000/udp/225.1.1.110:5002 -- 0.22 MB/s
静海卫视,http://xuys.top:8888/udp/225.1.1.110:5002 -- 0.06 MB/s
静海卫视,http://60.26.60.130:8000/udp/225.1.1.110:5002 -- 0.26 MB/s
静海卫视,http://home.techua.net:8000/udp/225.1.1.110:5002 -- 0.14 MB/s

#上海,#genre#
MAX极速汽车,http://pal.rogerxlj.top:9998/udp/239.45.3.49:5140 -- 0.30 MB/s
MAX极速汽车,http://114.95.156.205:4022/udp/239.45.3.49:5140 -- 0.15 MB/s
MAX极速汽车,http://vpn.rogerxlj.top:9998/udp/239.45.3.49:5140 -- 0.29 MB/s
MAX极速汽车,http://218.1.187.224:8888/udp/239.45.3.49:5140 -- 0.37 MB/s
MAX极速汽车,http://114.83.223.132:9999/udp/239.45.3.49:5140 -- 0.31 MB/s
MAX极速汽车,http://116.226.32.88:9999/udp/239.45.3.49:5140 -- 0.16 MB/s
MAX极速汽车,http://www.rogerxlj.top:9998/udp/239.45.3.49:5140 -- 0.22 MB/s
MAX极速汽车,http://116.226.45.122:8888/udp/239.45.3.49:5140 -- 0.38 MB/s
MAX极速汽车,http://h.gystations.top:8888/udp/239.45.3.49:5140 -- 0.33 MB/s
MAX极速汽车,http://180.173.166.204:8888/udp/239.45.3.49:5140 -- 0.00 MB/s
MAX极速汽车,http://home.qingyuga.com:8888/udp/239.45.3.49:5140 -- 0.35 MB/s
MAX极速汽车,http://222.67.148.108:4022/udp/239.45.3.49:5140 -- 0.37 MB/s
七彩戏剧,http://218.1.187.224:8888/udp/239.45.0.16:5140 -- 0.37 MB/s
七彩戏剧,http://home.qingyuga.com:8888/udp/239.45.0.16:5140 -- 0.33 MB/s
七彩戏剧,http://114.83.223.132:9999/udp/239.45.0.16:5140 -- 0.38 MB/s
七彩戏剧,http://vpn.rogerxlj.top:9998/udp/239.45.0.16:5140 -- 0.32 MB/s
七彩戏剧,http://222.67.148.108:4022/udp/239.45.0.16:5140 -- 0.15 MB/s
七彩戏剧,http://h.gystations.top:8888/udp/239.45.0.16:5140 -- 0.33 MB/s
七彩戏剧,http://114.95.156.205:4022/udp/239.45.0.16:5140 -- 0.07 MB/s
七彩戏剧,http://116.226.45.122:8888/udp/239.45.0.16:5140 -- 0.38 MB/s
七彩戏剧,http://pal.rogerxlj.top:9998/udp/239.45.0.16:5140 -- 0.35 MB/s
七彩戏剧,http://116.226.32.88:9999/udp/239.45.0.16:5140 -- 0.38 MB/s
七彩戏剧,http://www.rogerxlj.top:9998/udp/239.45.0.16:5140 -- 0.35 MB/s
七彩戏剧,http://180.173.166.204:8888/udp/239.45.0.16:5140 -- 0.17 MB/s
上海东方卫视,http://116.226.32.88:9999/udp/239.45.3.146:5140 -- 0.04 MB/s
上海东方卫视,http://vpn.rogerxlj.top:9998/udp/239.45.3.146:5140 -- 0.35 MB/s
上海东方卫视,http://222.67.148.108:4022/udp/239.45.3.146:5140 -- 0.45 MB/s
上海东方卫视,http://h.gystations.top:8888/udp/239.45.3.146:5140 -- 0.46 MB/s
上海东方卫视,http://180.173.166.204:8888/udp/239.45.3.146:5140 -- 0.26 MB/s
上海东方卫视,http://pal.rogerxlj.top:9998/udp/239.45.3.146:5140 -- 0.30 MB/s
上海东方卫视,http://116.226.45.122:8888/udp/239.45.3.146:5140 -- 0.11 MB/s
上海东方卫视,http://home.qingyuga.com:8888/udp/239.45.3.146:5140 -- 0.24 MB/s
上海东方卫视,http://114.83.223.132:9999/udp/239.45.3.146:5140 -- 0.45 MB/s
上海东方卫视,http://www.rogerxlj.top:9998/udp/239.45.3.146:5140 -- 0.22 MB/s
上海新闻综合,http://114.83.223.132:9999/udp/239.45.3.209:5140 -- 0.12 MB/s
上海新闻综合,http://pal.rogerxlj.top:9998/udp/239.45.3.209:5140 -- 0.34 MB/s
上海新闻综合,http://180.173.166.204:8888/udp/239.45.3.209:5140 -- 0.25 MB/s
上海新闻综合,http://h.gystations.top:8888/udp/239.45.3.209:5140 -- 0.18 MB/s
上海新闻综合,http://vpn.rogerxlj.top:9998/udp/239.45.3.209:5140 -- 0.38 MB/s
上海新闻综合,http://www.rogerxlj.top:9998/udp/239.45.3.209:5140 -- 0.32 MB/s
上海新闻综合,http://home.qingyuga.com:8888/udp/239.45.3.209:5140 -- 0.37 MB/s
上海新闻综合,http://114.95.156.205:4022/udp/239.45.3.209:5140 -- 0.17 MB/s
上海新闻综合,http://116.226.45.122:8888/udp/239.45.3.209:5140 -- 0.51 MB/s
上海新闻综合,http://116.226.32.88:9999/udp/239.45.3.209:5140 -- 0.26 MB/s
上海新闻综合,http://222.67.148.108:4022/udp/239.45.3.209:5140 -- 0.46 MB/s
上海第一财经,http://www.rogerxlj.top:9998/udp/239.45.3.211:5140 -- 0.39 MB/s
上海第一财经,http://h.gystations.top:8888/udp/239.45.3.211:5140 -- 0.45 MB/s
上海第一财经,http://180.173.166.204:8888/udp/239.45.3.211:5140 -- 0.45 MB/s
上海第一财经,http://vpn.rogerxlj.top:9998/udp/239.45.3.211:5140 -- 0.31 MB/s
上海第一财经,http://116.226.32.88:9999/udp/239.45.3.211:5140 -- 0.02 MB/s
上海第一财经,http://114.95.156.205:4022/udp/239.45.3.211:5140 -- 0.11 MB/s
上海第一财经,http://114.83.223.132:9999/udp/239.45.3.211:5140 -- 0.43 MB/s
上海第一财经,http://218.1.187.224:8888/udp/239.45.3.211:5140 -- 0.26 MB/s
上海第一财经,http://222.67.148.108:4022/udp/239.45.3.211:5140 -- 0.45 MB/s
上海第一财经,http://116.226.45.122:8888/udp/239.45.3.211:5140 -- 0.50 MB/s
上海第一财经,http://home.qingyuga.com:8888/udp/239.45.3.211:5140 -- 0.20 MB/s
上海第一财经,http://pal.rogerxlj.top:9998/udp/239.45.3.211:5140 -- 0.33 MB/s
上海纪实人文,http://180.173.166.204:8888/udp/239.45.3.212:5140 -- 0.02 MB/s
上海纪实人文,http://pal.rogerxlj.top:9998/udp/239.45.3.212:5140 -- 0.32 MB/s
上海纪实人文,http://116.226.45.122:8888/udp/239.45.3.212:5140 -- 0.38 MB/s
上海纪实人文,http://218.1.187.224:8888/udp/239.45.3.212:5140 -- 0.33 MB/s
上海纪实人文,http://116.226.32.88:9999/udp/239.45.3.212:5140 -- 0.23 MB/s
上海纪实人文,http://114.95.156.205:4022/udp/239.45.3.212:5140 -- 0.19 MB/s
上海纪实人文,http://114.83.223.132:9999/udp/239.45.3.212:5140 -- 0.37 MB/s
上海纪实人文,http://222.67.148.108:4022/udp/239.45.3.212:5140 -- 0.38 MB/s
上海纪实人文,http://vpn.rogerxlj.top:9998/udp/239.45.3.212:5140 -- 0.08 MB/s
上海纪实人文,http://home.qingyuga.com:8888/udp/239.45.3.212:5140 -- 0.12 MB/s
上海纪实人文,http://h.gystations.top:8888/udp/239.45.3.212:5140 -- 0.14 MB/s
上海纪实人文,http://www.rogerxlj.top:9998/udp/239.45.3.212:5140 -- 0.34 MB/s
上海都市频道,http://vpn.rogerxlj.top:9998/udp/239.45.3.236:5140 -- 0.23 MB/s
上海都市频道,http://home.qingyuga.com:8888/udp/239.45.3.236:5140 -- 0.28 MB/s
上海都市频道,http://116.226.32.88:9999/udp/239.45.3.236:5140 -- 0.44 MB/s
上海都市频道,http://www.rogerxlj.top:9998/udp/239.45.3.236:5140 -- 0.38 MB/s
上海都市频道,http://218.1.187.224:8888/udp/239.45.3.236:5140 -- 0.25 MB/s
上海都市频道,http://180.173.166.204:8888/udp/239.45.3.236:5140 -- 0.27 MB/s
上海都市频道,http://114.83.223.132:9999/udp/239.45.3.236:5140 -- 0.45 MB/s
上海都市频道,http://pal.rogerxlj.top:9998/udp/239.45.3.236:5140 -- 0.35 MB/s
上海都市频道,http://h.gystations.top:8888/udp/239.45.3.236:5140 -- 0.18 MB/s
上海都市频道,http://222.67.148.108:4022/udp/239.45.3.236:5140 -- 0.45 MB/s
上视外语,http://116.226.32.88:9999/udp/239.45.1.127:5140 -- 0.26 MB/s
上视外语,http://222.67.148.108:4022/udp/239.45.1.127:5140 -- 0.08 MB/s
上视外语,http://home.qingyuga.com:8888/udp/239.45.1.127:5140 -- 0.29 MB/s
上视外语,http://pal.rogerxlj.top:9998/udp/239.45.1.127:5140 -- 0.32 MB/s
上视外语,http://180.173.166.204:8888/udp/239.45.1.127:5140 -- 0.38 MB/s
上视外语,http://www.rogerxlj.top:9998/udp/239.45.1.127:5140 -- 0.35 MB/s
上视外语,http://h.gystations.top:8888/udp/239.45.1.127:5140 -- 0.32 MB/s
上视外语,http://218.1.187.224:8888/udp/239.45.1.127:5140 -- 0.23 MB/s
上视外语,http://114.83.223.132:9999/udp/239.45.1.127:5140 -- 0.25 MB/s
上视外语,http://116.226.45.122:8888/udp/239.45.1.127:5140 -- 0.38 MB/s
上视外语,http://vpn.rogerxlj.top:9998/udp/239.45.1.127:5140 -- 0.18 MB/s
上视外语,http://114.95.156.205:4022/udp/239.45.1.127:5140 -- 0.18 MB/s
东方影视,http://home.qingyuga.com:8888/udp/239.45.3.237:5140 -- 0.29 MB/s
东方影视,http://222.67.148.108:4022/udp/239.45.3.237:5140 -- 0.02 MB/s
东方影视,http://116.226.45.122:8888/udp/239.45.3.237:5140 -- 0.50 MB/s
东方影视,http://www.rogerxlj.top:9998/udp/239.45.3.237:5140 -- 0.29 MB/s
东方影视,http://114.83.223.132:9999/udp/239.45.3.237:5140 -- 0.26 MB/s
东方影视,http://116.226.32.88:9999/udp/239.45.3.237:5140 -- 0.43 MB/s
东方影视,http://218.1.187.224:8888/udp/239.45.3.237:5140 -- 0.37 MB/s
东方影视,http://180.173.166.204:8888/udp/239.45.3.237:5140 -- 0.44 MB/s
东方影视,http://pal.rogerxlj.top:9998/udp/239.45.3.237:5140 -- 0.37 MB/s
东方影视,http://vpn.rogerxlj.top:9998/udp/239.45.3.237:5140 -- 0.39 MB/s
东方影视,http://h.gystations.top:8888/udp/239.45.3.237:5140 -- 0.23 MB/s
东方财经,http://116.226.32.88:9999/udp/239.45.1.119:5140 -- 0.21 MB/s
东方财经,http://h.gystations.top:8888/udp/239.45.1.119:5140 -- 0.20 MB/s
东方财经,http://116.226.45.122:8888/udp/239.45.1.119:5140 -- 0.38 MB/s
东方财经,http://114.95.156.205:4022/udp/239.45.1.119:5140 -- 0.21 MB/s
东方财经,http://180.173.166.204:8888/udp/239.45.1.119:5140 -- 0.34 MB/s
东方财经,http://www.rogerxlj.top:9998/udp/239.45.1.119:5140 -- 0.10 MB/s
东方财经,http://218.1.187.224:8888/udp/239.45.1.119:5140 -- 0.09 MB/s
东方财经,http://pal.rogerxlj.top:9998/udp/239.45.1.119:5140 -- 0.05 MB/s
东方财经,http://home.qingyuga.com:8888/udp/239.45.1.119:5140 -- 0.10 MB/s
东方财经,http://vpn.rogerxlj.top:9998/udp/239.45.1.119:5140 -- 0.33 MB/s
东方财经,http://114.83.223.132:9999/udp/239.45.1.119:5140 -- 0.26 MB/s
东方财经,http://222.67.148.108:4022/udp/239.45.1.119:5140 -- 0.38 MB/s
五星体育,http://116.226.32.88:9999/udp/239.45.3.210:5140 -- 0.26 MB/s
五星体育,http://180.173.166.204:8888/udp/239.45.3.210:5140 -- 0.45 MB/s
五星体育,http://pal.rogerxlj.top:9998/udp/239.45.3.210:5140 -- 0.33 MB/s
五星体育,http://h.gystations.top:8888/udp/239.45.3.210:5140 -- 0.38 MB/s
五星体育,http://114.95.156.205:4022/udp/239.45.3.210:5140 -- 0.06 MB/s
五星体育,http://home.qingyuga.com:8888/udp/239.45.3.210:5140 -- 0.25 MB/s
五星体育,http://218.1.187.224:8888/udp/239.45.3.210:5140 -- 0.16 MB/s
五星体育,http://116.226.45.122:8888/udp/239.45.3.210:5140 -- 0.27 MB/s
五星体育,http://vpn.rogerxlj.top:9998/udp/239.45.3.210:5140 -- 0.36 MB/s
五星体育,http://www.rogerxlj.top:9998/udp/239.45.3.210:5140 -- 0.37 MB/s
五星体育,http://114.83.223.132:9999/udp/239.45.3.210:5140 -- 0.26 MB/s
五星体育,http://222.67.148.108:4022/udp/239.45.3.210:5140 -- 0.45 MB/s
健康人生,http://116.226.32.88:9999/udp/239.45.3.214:5140 -- 0.38 MB/s
健康人生,http://116.226.45.122:8888/udp/239.45.3.214:5140 -- 0.38 MB/s
健康人生,http://180.173.166.204:8888/udp/239.45.3.214:5140 -- 0.38 MB/s
健康人生,http://www.rogerxlj.top:9998/udp/239.45.3.214:5140 -- 0.35 MB/s
健康人生,http://222.67.148.108:4022/udp/239.45.3.214:5140 -- 0.38 MB/s
健康人生,http://114.83.223.132:9999/udp/239.45.3.214:5140 -- 0.38 MB/s
健康人生,http://pal.rogerxlj.top:9998/udp/239.45.3.214:5140 -- 0.32 MB/s
健康人生,http://home.qingyuga.com:8888/udp/239.45.3.214:5140 -- 0.36 MB/s
健康人生,http://vpn.rogerxlj.top:9998/udp/239.45.3.214:5140 -- 0.28 MB/s
健康人生,http://114.95.156.205:4022/udp/239.45.3.214:5140 -- 0.19 MB/s
健康人生,http://218.1.187.224:8888/udp/239.45.3.214:5140 -- 0.22 MB/s
健康人生,http://h.gystations.top:8888/udp/239.45.3.214:5140 -- 0.24 MB/s
全纪实,http://180.173.166.204:8888/udp/239.45.3.135:5140 -- 0.26 MB/s
全纪实,http://www.rogerxlj.top:9998/udp/239.45.3.135:5140 -- 0.37 MB/s
全纪实,http://h.gystations.top:8888/udp/239.45.3.135:5140 -- 0.45 MB/s
全纪实,http://116.226.45.122:8888/udp/239.45.3.135:5140 -- 0.50 MB/s
全纪实,http://vpn.rogerxlj.top:9998/udp/239.45.3.135:5140 -- 0.12 MB/s
全纪实,http://pal.rogerxlj.top:9998/udp/239.45.3.135:5140 -- 0.24 MB/s
全纪实,http://116.226.32.88:9999/udp/239.45.3.135:5140 -- 0.45 MB/s
全纪实,http://home.qingyuga.com:8888/udp/239.45.3.135:5140 -- 0.40 MB/s
全纪实,http://222.67.148.108:4022/udp/239.45.3.135:5140 -- 0.46 MB/s
全纪实,http://114.95.156.205:4022/udp/239.45.3.135:5140 -- 0.12 MB/s
全纪实,http://114.83.223.132:9999/udp/239.45.3.135:5140 -- 0.25 MB/s
全纪实,http://218.1.187.224:8888/udp/239.45.3.135:5140 -- 0.25 MB/s
动漫秀场,http://218.1.187.224:8888/udp/239.45.3.134:5140 -- 0.24 MB/s
动漫秀场,http://114.83.223.132:9999/udp/239.45.3.134:5140 -- 0.05 MB/s
动漫秀场,http://h.gystations.top:8888/udp/239.45.3.134:5140 -- 0.46 MB/s
动漫秀场,http://www.rogerxlj.top:9998/udp/239.45.3.134:5140 -- 0.34 MB/s
动漫秀场,http://116.226.45.122:8888/udp/239.45.3.134:5140 -- 0.41 MB/s
动漫秀场,http://116.226.32.88:9999/udp/239.45.3.134:5140 -- 0.25 MB/s
动漫秀场,http://vpn.rogerxlj.top:9998/udp/239.45.3.134:5140 -- 0.35 MB/s
动漫秀场,http://180.173.166.204:8888/udp/239.45.3.134:5140 -- 0.18 MB/s
动漫秀场,http://pal.rogerxlj.top:9998/udp/239.45.3.134:5140 -- 0.36 MB/s
动漫秀场,http://222.67.148.108:4022/udp/239.45.3.134:5140 -- 0.45 MB/s
动漫秀场,http://home.qingyuga.com:8888/udp/239.45.3.134:5140 -- 0.42 MB/s
哈哈炫动,http://h.gystations.top:8888/udp/239.45.1.55:5140 -- 0.44 MB/s
哈哈炫动,http://pal.rogerxlj.top:9998/udp/239.45.1.55:5140 -- 0.36 MB/s
哈哈炫动,http://114.95.156.205:4022/udp/239.45.1.55:5140 -- 0.24 MB/s
哈哈炫动,http://218.1.187.224:8888/udp/239.45.1.55:5140 -- 0.42 MB/s
哈哈炫动,http://vpn.rogerxlj.top:9998/udp/239.45.1.55:5140 -- 0.05 MB/s
哈哈炫动,http://www.rogerxlj.top:9998/udp/239.45.1.55:5140 -- 0.39 MB/s
哈哈炫动,http://116.226.32.88:9999/udp/239.45.1.55:5140 -- 0.10 MB/s
哈哈炫动,http://180.173.166.204:8888/udp/239.45.1.55:5140 -- 0.44 MB/s
哈哈炫动,http://114.83.223.132:9999/udp/239.45.1.55:5140 -- 0.26 MB/s
哈哈炫动,http://222.67.148.108:4022/udp/239.45.1.55:5140 -- 0.26 MB/s
哈哈炫动,http://home.qingyuga.com:8888/udp/239.45.1.55:5140 -- 0.09 MB/s
嘉定频道,http://pal.rogerxlj.top:9998/udp/239.45.3.185:5140 -- 0.12 MB/s
嘉定频道,http://222.67.148.108:4022/udp/239.45.3.185:5140 -- 0.17 MB/s
嘉定频道,http://h.gystations.top:8888/udp/239.45.3.185:5140 -- 0.17 MB/s
嘉定频道,http://116.226.32.88:9999/udp/239.45.3.185:5140 -- 0.08 MB/s
嘉定频道,http://114.95.156.205:4022/udp/239.45.3.185:5140 -- 0.04 MB/s
嘉定频道,http://vpn.rogerxlj.top:9998/udp/239.45.3.185:5140 -- 0.16 MB/s
嘉定频道,http://www.rogerxlj.top:9998/udp/239.45.3.185:5140 -- 0.17 MB/s
嘉定频道,http://180.173.166.204:8888/udp/239.45.3.185:5140 -- 0.14 MB/s
嘉定频道,http://home.qingyuga.com:8888/udp/239.45.3.185:5140 -- 0.16 MB/s
嘉定频道,http://114.83.223.132:9999/udp/239.45.3.185:5140 -- 0.00 MB/s
