
#天津,#genre#
天津文艺,http://60.26.61.0:8000/udp/225.1.1.131:5002 -- 0.13 MB/s
天津文艺,http://xuys.top:8888/udp/225.1.1.131:5002 -- 0.17 MB/s
天津文艺,http://xushining.com:50000/udp/225.1.1.131:5002 -- 0.23 MB/s
天津文艺,http://ycnas.zixi.ltd:8888/udp/225.1.1.131:5002 -- 0.40 MB/s
天津文艺,http://home.techua.net:8000/udp/225.1.1.131:5002 -- 0.24 MB/s
天津文艺,http://125.36.85.183:8888/udp/225.1.1.131:5002 -- 0.27 MB/s
天津文艺,http://60.27.20.120:5555/udp/225.1.1.131:5002 -- 0.25 MB/s
天津新闻,http://xushining.com:50000/udp/225.1.1.130:5002 -- 0.34 MB/s
天津新闻,http://125.36.85.183:8888/udp/225.1.1.130:5002 -- 0.27 MB/s
天津新闻,http://home.techua.net:8000/udp/225.1.1.130:5002 -- 0.22 MB/s
天津新闻,http://ycnas.zixi.ltd:8888/udp/225.1.1.130:5002 -- 0.44 MB/s
天津新闻,http://221.198.188.161:8888/udp/225.1.1.130:5002 -- 0.25 MB/s
天津新闻,http://xuys.top:8888/udp/225.1.1.130:5002 -- 0.13 MB/s
天津新闻,http://60.26.61.0:8000/udp/225.1.1.130:5002 -- 0.19 MB/s
天津新闻,http://60.27.20.120:5555/udp/225.1.1.130:5002 -- 0.43 MB/s
天津科教,http://60.27.20.120:5555/udp/225.1.1.129:5002 -- 0.40 MB/s
天津科教,http://125.36.85.183:8888/udp/225.1.1.129:5002 -- 0.27 MB/s
天津科教,http://221.198.188.161:8888/udp/225.1.1.129:5002 -- 0.10 MB/s
天津科教,http://home.techua.net:8000/udp/225.1.1.129:5002 -- 0.19 MB/s
天津科教,http://ycnas.zixi.ltd:8888/udp/225.1.1.129:5002 -- 0.44 MB/s
天津科教,http://xushining.com:50000/udp/225.1.1.129:5002 -- 0.26 MB/s
天津科教,http://60.26.61.0:8000/udp/225.1.1.129:5002 -- 0.28 MB/s
天津科教,http://xuys.top:8888/udp/225.1.1.129:5002 -- 0.25 MB/s
天津购物,http://home.techua.net:8000/udp/225.1.1.151:5002 -- 0.20 MB/s
天津购物,http://ycnas.zixi.ltd:8888/udp/225.1.1.151:5002 -- 0.38 MB/s
天津购物,http://60.26.61.0:8000/udp/225.1.1.151:5002 -- 0.22 MB/s
天津购物,http://60.27.20.120:5555/udp/225.1.1.151:5002 -- 0.25 MB/s
天津购物,http://xushining.com:50000/udp/225.1.1.151:5002 -- 0.36 MB/s
天津购物,http://125.36.85.183:8888/udp/225.1.1.151:5002 -- 0.29 MB/s
天津购物,http://221.198.188.161:8888/udp/225.1.1.151:5002 -- 0.45 MB/s
天津都市,http://221.198.188.161:8888/udp/225.1.1.128:5002 -- 0.42 MB/s
天津都市,http://60.26.61.0:8000/udp/225.1.1.128:5002 -- 0.22 MB/s
天津都市,http://home.techua.net:8000/udp/225.1.1.128:5002 -- 0.12 MB/s
天津都市,http://xushining.com:50000/udp/225.1.1.128:5002 -- 0.24 MB/s
天津都市,http://ycnas.zixi.ltd:8888/udp/225.1.1.128:5002 -- 0.40 MB/s
天津都市,http://60.27.20.120:5555/udp/225.1.1.128:5002 -- 0.09 MB/s
天津都市,http://125.36.85.183:8888/udp/225.1.1.128:5002 -- 0.28 MB/s
河东卫视,http://221.198.188.161:8888/udp/225.1.2.2:5002 -- 0.21 MB/s
河东卫视,http://xuys.top:8888/udp/225.1.2.2:5002 -- 0.25 MB/s
河东卫视,http://xushining.com:50000/udp/225.1.2.2:5002 -- 0.24 MB/s
河东卫视,http://60.27.20.120:5555/udp/225.1.2.2:5002 -- 0.24 MB/s
河东卫视,http://home.techua.net:8000/udp/225.1.2.2:5002 -- 0.16 MB/s
河东卫视,http://ycnas.zixi.ltd:8888/udp/225.1.2.2:5002 -- 0.25 MB/s
河东卫视,http://125.36.85.183:8888/udp/225.1.2.2:5002 -- 0.23 MB/s
河东卫视,http://60.26.61.0:8000/udp/225.1.2.2:5002 -- 0.11 MB/s
河西卫视,http://ycnas.zixi.ltd:8888/udp/225.1.2.4:5002 -- 0.15 MB/s
河西卫视,http://home.techua.net:8000/udp/225.1.2.4:5002 -- 0.25 MB/s
河西卫视,http://221.198.188.161:8888/udp/225.1.2.4:5002 -- 0.16 MB/s
河西卫视,http://125.36.85.183:8888/udp/225.1.2.4:5002 -- 0.24 MB/s
河西卫视,http://60.26.61.0:8000/udp/225.1.2.4:5002 -- 0.00 MB/s
河西卫视,http://60.27.20.120:5555/udp/225.1.2.4:5002 -- 0.12 MB/s
河西卫视,http://xushining.com:50000/udp/225.1.2.4:5002 -- 0.26 MB/s
河西卫视,http://xuys.top:8888/udp/225.1.2.4:5002 -- 0.21 MB/s
滨海1,http://xuys.top:8888/udp/225.1.2.7:5002 -- 0.25 MB/s
滨海1,http://xushining.com:50000/udp/225.1.2.7:5002 -- 0.25 MB/s
滨海1,http://60.27.20.120:5555/udp/225.1.2.7:5002 -- 0.05 MB/s
滨海1,http://60.26.61.0:8000/udp/225.1.2.7:5002 -- 0.00 MB/s
滨海1,http://home.techua.net:8000/udp/225.1.2.7:5002 -- 0.32 MB/s
滨海1,http://ycnas.zixi.ltd:8888/udp/225.1.2.7:5002 -- 0.23 MB/s
滨海1,http://125.36.85.183:8888/udp/225.1.2.7:5002 -- 0.22 MB/s
滨海1,http://221.198.188.161:8888/udp/225.1.2.7:5002 -- 0.12 MB/s
滨海2,http://60.26.61.0:8000/udp/225.1.2.8:5002 -- 0.13 MB/s
滨海2,http://ycnas.zixi.ltd:8888/udp/225.1.2.8:5002 -- 0.18 MB/s
滨海2,http://xushining.com:50000/udp/225.1.2.8:5002 -- 0.17 MB/s
滨海2,http://xuys.top:8888/udp/225.1.2.8:5002 -- 0.13 MB/s
滨海2,http://60.27.20.120:5555/udp/225.1.2.8:5002 -- 0.07 MB/s
滨海2,http://home.techua.net:8000/udp/225.1.2.8:5002 -- 0.25 MB/s
滨海2,http://221.198.188.161:8888/udp/225.1.2.8:5002 -- 0.25 MB/s
滨海2,http://125.36.85.183:8888/udp/225.1.2.8:5002 -- 0.20 MB/s
蓟州卫视,http://xushining.com:50000/udp/225.1.1.82:5002 -- 0.27 MB/s
蓟州卫视,http://60.27.20.120:5555/udp/225.1.1.82:5002 -- 0.09 MB/s
蓟州卫视,http://221.198.188.161:8888/udp/225.1.1.82:5002 -- 0.44 MB/s
蓟州卫视,http://xuys.top:8888/udp/225.1.1.82:5002 -- 0.11 MB/s
蓟州卫视,http://60.26.61.0:8000/udp/225.1.1.82:5002 -- 0.12 MB/s
蓟州卫视,http://125.36.85.183:8888/udp/225.1.1.82:5002 -- 0.26 MB/s
蓟州卫视,http://ycnas.zixi.ltd:8888/udp/225.1.1.82:5002 -- 0.19 MB/s
蓟州卫视,http://home.techua.net:8000/udp/225.1.1.82:5002 -- 0.30 MB/s
静海卫视,http://125.36.85.183:8888/udp/225.1.1.110:5002 -- 0.23 MB/s
静海卫视,http://ycnas.zixi.ltd:8888/udp/225.1.1.110:5002 -- 0.22 MB/s
静海卫视,http://60.27.20.120:5555/udp/225.1.1.110:5002 -- 0.24 MB/s
静海卫视,http://home.techua.net:8000/udp/225.1.1.110:5002 -- 0.04 MB/s
静海卫视,http://xuys.top:8888/udp/225.1.1.110:5002 -- 0.22 MB/s
静海卫视,http://221.198.188.161:8888/udp/225.1.1.110:5002 -- 0.19 MB/s
静海卫视,http://60.26.61.0:8000/udp/225.1.1.110:5002 -- 0.00 MB/s
静海卫视,http://xushining.com:50000/udp/225.1.1.110:5002 -- 0.15 MB/s

#上海,#genre#
MAX极速汽车,http://180.173.49.34:8888/udp/239.45.3.49:5140 -- 0.29 MB/s
MAX极速汽车,http://114.95.156.205:4022/udp/239.45.3.49:5140 -- 0.38 MB/s
MAX极速汽车,http://pal.rogerxlj.top:9998/udp/239.45.3.49:5140 -- 0.31 MB/s
MAX极速汽车,http://vpn.rogerxlj.top:9998/udp/239.45.3.49:5140 -- 0.32 MB/s
MAX极速汽车,http://www.rogerxlj.top:9998/udp/239.45.3.49:5140 -- 0.30 MB/s
MAX极速汽车,http://101.81.79.180:8888/udp/239.45.3.49:5140 -- 0.28 MB/s
MAX极速汽车,http://home.qingyuga.com:8888/udp/239.45.3.49:5140 -- 0.17 MB/s
七彩戏剧,http://pal.rogerxlj.top:9998/udp/239.45.0.16:5140 -- 0.00 MB/s
七彩戏剧,http://vpn.rogerxlj.top:9998/udp/239.45.0.16:5140 -- 0.05 MB/s
七彩戏剧,http://114.95.156.205:4022/udp/239.45.0.16:5140 -- 0.38 MB/s
七彩戏剧,http://www.rogerxlj.top:9998/udp/239.45.0.16:5140 -- 0.31 MB/s
七彩戏剧,http://home.qingyuga.com:8888/udp/239.45.0.16:5140 -- 0.37 MB/s
七彩戏剧,http://101.81.79.180:8888/udp/239.45.0.16:5140 -- 0.21 MB/s
七彩戏剧,http://180.173.49.34:8888/udp/239.45.0.16:5140 -- 0.37 MB/s
上海东方卫视,http://101.81.79.180:8888/udp/239.45.3.146:5140 -- 0.23 MB/s
上海东方卫视,http://vpn.rogerxlj.top:9998/udp/239.45.3.146:5140 -- 0.34 MB/s
上海东方卫视,http://www.rogerxlj.top:9998/udp/239.45.3.146:5140 -- 0.25 MB/s
上海东方卫视,http://180.173.49.34:8888/udp/239.45.3.146:5140 -- 0.43 MB/s
上海东方卫视,http://home.qingyuga.com:8888/udp/239.45.3.146:5140 -- 0.44 MB/s
上海东方卫视,http://114.95.156.205:4022/udp/239.45.3.146:5140 -- 0.44 MB/s
上海东方卫视,http://pal.rogerxlj.top:9998/udp/239.45.3.146:5140 -- 0.28 MB/s
上海新闻综合,http://vpn.rogerxlj.top:9998/udp/239.45.3.209:5140 -- 0.36 MB/s
上海新闻综合,http://pal.rogerxlj.top:9998/udp/239.45.3.209:5140 -- 0.16 MB/s
上海新闻综合,http://home.qingyuga.com:8888/udp/239.45.3.209:5140 -- 0.43 MB/s
上海新闻综合,http://101.81.79.180:8888/udp/239.45.3.209:5140 -- 0.48 MB/s
上海新闻综合,http://www.rogerxlj.top:9998/udp/239.45.3.209:5140 -- 0.26 MB/s
上海新闻综合,http://114.95.156.205:4022/udp/239.45.3.209:5140 -- 0.44 MB/s
上海新闻综合,http://180.173.49.34:8888/udp/239.45.3.209:5140 -- 0.43 MB/s
上海第一财经,http://www.rogerxlj.top:9998/udp/239.45.3.211:5140 -- 0.11 MB/s
上海第一财经,http://pal.rogerxlj.top:9998/udp/239.45.3.211:5140 -- 0.20 MB/s
上海第一财经,http://home.qingyuga.com:8888/udp/239.45.3.211:5140 -- 0.43 MB/s
上海第一财经,http://180.173.49.34:8888/udp/239.45.3.211:5140 -- 0.43 MB/s
上海第一财经,http://114.95.156.205:4022/udp/239.45.3.211:5140 -- 0.38 MB/s
上海第一财经,http://101.81.79.180:8888/udp/239.45.3.211:5140 -- 0.50 MB/s
上海第一财经,http://vpn.rogerxlj.top:9998/udp/239.45.3.211:5140 -- 0.39 MB/s
上海纪实人文,http://home.qingyuga.com:8888/udp/239.45.3.212:5140 -- 0.37 MB/s
上海纪实人文,http://pal.rogerxlj.top:9998/udp/239.45.3.212:5140 -- 0.27 MB/s
上海纪实人文,http://vpn.rogerxlj.top:9998/udp/239.45.3.212:5140 -- 0.12 MB/s
上海纪实人文,http://101.81.79.180:8888/udp/239.45.3.212:5140 -- 0.20 MB/s
上海纪实人文,http://www.rogerxlj.top:9998/udp/239.45.3.212:5140 -- 0.00 MB/s
上海纪实人文,http://180.173.49.34:8888/udp/239.45.3.212:5140 -- 0.24 MB/s
上海纪实人文,http://114.95.156.205:4022/udp/239.45.3.212:5140 -- 0.37 MB/s
上海都市频道,http://101.81.79.180:8888/udp/239.45.3.236:5140 -- 0.27 MB/s
上海都市频道,http://home.qingyuga.com:8888/udp/239.45.3.236:5140 -- 0.34 MB/s
上海都市频道,http://www.rogerxlj.top:9998/udp/239.45.3.236:5140 -- 0.36 MB/s
上海都市频道,http://pal.rogerxlj.top:9998/udp/239.45.3.236:5140 -- 0.11 MB/s
上海都市频道,http://114.95.156.205:4022/udp/239.45.3.236:5140 -- 0.45 MB/s
上海都市频道,http://vpn.rogerxlj.top:9998/udp/239.45.3.236:5140 -- 0.28 MB/s
上海都市频道,http://180.173.49.34:8888/udp/239.45.3.236:5140 -- 0.44 MB/s
上视外语,http://pal.rogerxlj.top:9998/udp/239.45.1.127:5140 -- 0.33 MB/s
上视外语,http://www.rogerxlj.top:9998/udp/239.45.1.127:5140 -- 0.36 MB/s
上视外语,http://vpn.rogerxlj.top:9998/udp/239.45.1.127:5140 -- 0.00 MB/s
上视外语,http://180.173.49.34:8888/udp/239.45.1.127:5140 -- 0.38 MB/s
上视外语,http://114.95.156.205:4022/udp/239.45.1.127:5140 -- 0.37 MB/s
上视外语,http://home.qingyuga.com:8888/udp/239.45.1.127:5140 -- 0.37 MB/s
上视外语,http://101.81.79.180:8888/udp/239.45.1.127:5140 -- 0.38 MB/s
东方影视,http://home.qingyuga.com:8888/udp/239.45.3.237:5140 -- 0.25 MB/s
东方影视,http://180.173.49.34:8888/udp/239.45.3.237:5140 -- 0.42 MB/s
东方影视,http://pal.rogerxlj.top:9998/udp/239.45.3.237:5140 -- 0.35 MB/s
东方影视,http://www.rogerxlj.top:9998/udp/239.45.3.237:5140 -- 0.37 MB/s
东方影视,http://vpn.rogerxlj.top:9998/udp/239.45.3.237:5140 -- 0.23 MB/s
东方影视,http://101.81.79.180:8888/udp/239.45.3.237:5140 -- 0.33 MB/s
东方影视,http://114.95.156.205:4022/udp/239.45.3.237:5140 -- 0.23 MB/s
东方财经,http://www.rogerxlj.top:9998/udp/239.45.1.119:5140 -- 0.27 MB/s
东方财经,http://pal.rogerxlj.top:9998/udp/239.45.1.119:5140 -- 0.31 MB/s
东方财经,http://180.173.49.34:8888/udp/239.45.1.119:5140 -- 0.38 MB/s
东方财经,http://home.qingyuga.com:8888/udp/239.45.1.119:5140 -- 0.31 MB/s
东方财经,http://114.95.156.205:4022/udp/239.45.1.119:5140 -- 0.38 MB/s
东方财经,http://vpn.rogerxlj.top:9998/udp/239.45.1.119:5140 -- 0.20 MB/s
东方财经,http://101.81.79.180:8888/udp/239.45.1.119:5140 -- 0.38 MB/s
五星体育,http://180.173.49.34:8888/udp/239.45.3.210:5140 -- 0.43 MB/s
五星体育,http://home.qingyuga.com:8888/udp/239.45.3.210:5140 -- 0.37 MB/s
五星体育,http://www.rogerxlj.top:9998/udp/239.45.3.210:5140 -- 0.39 MB/s
五星体育,http://vpn.rogerxlj.top:9998/udp/239.45.3.210:5140 -- 0.20 MB/s
五星体育,http://101.81.79.180:8888/udp/239.45.3.210:5140 -- 0.31 MB/s
五星体育,http://pal.rogerxlj.top:9998/udp/239.45.3.210:5140 -- 0.40 MB/s
五星体育,http://114.95.156.205:4022/udp/239.45.3.210:5140 -- 0.43 MB/s
健康人生,http://114.95.156.205:4022/udp/239.45.3.214:5140 -- 0.38 MB/s
健康人生,http://pal.rogerxlj.top:9998/udp/239.45.3.214:5140 -- 0.25 MB/s
健康人生,http://101.81.79.180:8888/udp/239.45.3.214:5140 -- 0.23 MB/s
健康人生,http://home.qingyuga.com:8888/udp/239.45.3.214:5140 -- 0.30 MB/s
健康人生,http://180.173.49.34:8888/udp/239.45.3.214:5140 -- 0.37 MB/s
健康人生,http://vpn.rogerxlj.top:9998/udp/239.45.3.214:5140 -- 0.17 MB/s
健康人生,http://www.rogerxlj.top:9998/udp/239.45.3.214:5140 -- 0.23 MB/s
全纪实,http://www.rogerxlj.top:9998/udp/239.45.3.135:5140 -- 0.39 MB/s
全纪实,http://101.81.79.180:8888/udp/239.45.3.135:5140 -- 0.47 MB/s
全纪实,http://114.95.156.205:4022/udp/239.45.3.135:5140 -- 0.35 MB/s
全纪实,http://home.qingyuga.com:8888/udp/239.45.3.135:5140 -- 0.42 MB/s
全纪实,http://vpn.rogerxlj.top:9998/udp/239.45.3.135:5140 -- 0.10 MB/s
全纪实,http://pal.rogerxlj.top:9998/udp/239.45.3.135:5140 -- 0.26 MB/s
全纪实,http://180.173.49.34:8888/udp/239.45.3.135:5140 -- 0.21 MB/s
动漫秀场,http://101.81.79.180:8888/udp/239.45.3.134:5140 -- 0.22 MB/s
动漫秀场,http://180.173.49.34:8888/udp/239.45.3.134:5140 -- 0.43 MB/s
动漫秀场,http://114.95.156.205:4022/udp/239.45.3.134:5140 -- 0.44 MB/s
动漫秀场,http://www.rogerxlj.top:9998/udp/239.45.3.134:5140 -- 0.19 MB/s
动漫秀场,http://home.qingyuga.com:8888/udp/239.45.3.134:5140 -- 0.43 MB/s
动漫秀场,http://pal.rogerxlj.top:9998/udp/239.45.3.134:5140 -- 0.27 MB/s
动漫秀场,http://vpn.rogerxlj.top:9998/udp/239.45.3.134:5140 -- 0.16 MB/s
哈哈炫动,http://www.rogerxlj.top:9998/udp/239.45.1.55:5140 -- 0.19 MB/s
哈哈炫动,http://180.173.49.34:8888/udp/239.45.1.55:5140 -- 0.28 MB/s
哈哈炫动,http://114.95.156.205:4022/udp/239.45.1.55:5140 -- 0.44 MB/s
哈哈炫动,http://pal.rogerxlj.top:9998/udp/239.45.1.55:5140 -- 0.00 MB/s
哈哈炫动,http://vpn.rogerxlj.top:9998/udp/239.45.1.55:5140 -- 0.22 MB/s
哈哈炫动,http://home.qingyuga.com:8888/udp/239.45.1.55:5140 -- 0.35 MB/s
哈哈炫动,http://101.81.79.180:8888/udp/239.45.1.55:5140 -- 0.51 MB/s
嘉定频道,http://home.qingyuga.com:8888/udp/239.45.3.185:5140 -- 0.17 MB/s
嘉定频道,http://180.173.49.34:8888/udp/239.45.3.185:5140 -- 0.17 MB/s
嘉定频道,http://vpn.rogerxlj.top:9998/udp/239.45.3.185:5140 -- 0.15 MB/s
嘉定频道,http://101.81.79.180:8888/udp/239.45.3.185:5140 -- 0.17 MB/s
嘉定频道,http://www.rogerxlj.top:9998/udp/239.45.3.185:5140 -- 0.08 MB/s
嘉定频道,http://114.95.156.205:4022/udp/239.45.3.185:5140 -- 0.15 MB/s
嘉定频道,http://pal.rogerxlj.top:9998/udp/239.45.3.185:5140 -- 0.10 MB/s
崇明电视,http://www.rogerxlj.top:9998/udp/239.45.1.54:5140 -- 0.14 MB/s
崇明电视,http://114.95.156.205:4022/udp/239.45.1.54:5140 -- 0.37 MB/s
崇明电视,http://home.qingyuga.com:8888/udp/239.45.1.54:5140 -- 0.38 MB/s
崇明电视,http://101.81.79.180:8888/udp/239.45.1.54:5140 -- 0.38 MB/s
崇明电视,http://vpn.rogerxlj.top:9998/udp/239.45.1.54:5140 -- 0.20 MB/s
崇明电视,http://180.173.49.34:8888/udp/239.45.1.54:5140 -- 0.35 MB/s
崇明电视,http://pal.rogerxlj.top:9998/udp/239.45.1.54:5140 -- 0.36 MB/s
教育台,http://101.81.79.180:8888/udp/239.45.3.122:5140 -- 0.27 MB/s
教育台,http://180.173.49.34:8888/udp/239.45.3.122:5140 -- 0.36 MB/s
教育台,http://vpn.rogerxlj.top:9998/udp/239.45.3.122:5140 -- 0.08 MB/s
教育台,http://home.qingyuga.com:8888/udp/239.45.3.122:5140 -- 0.28 MB/s
教育台,http://pal.rogerxlj.top:9998/udp/239.45.3.122:5140 -- 0.12 MB/s
教育台,http://114.95.156.205:4022/udp/239.45.3.122:5140 -- 0.38 MB/s
教育台,http://www.rogerxlj.top:9998/udp/239.45.3.122:5140 -- 0.18 MB/s
欢笑剧场,http://www.rogerxlj.top:9998/udp/239.45.3.196:5140 -- 0.39 MB/s
欢笑剧场,http://pal.rogerxlj.top:9998/udp/239.45.3.196:5140 -- 0.22 MB/s
欢笑剧场,http://180.173.49.34:8888/udp/239.45.3.196:5140 -- 0.33 MB/s
欢笑剧场,http://114.95.156.205:4022/udp/239.45.3.196:5140 -- 0.45 MB/s
欢笑剧场,http://101.81.79.180:8888/udp/239.45.3.196:5140 -- 0.47 MB/s
欢笑剧场,http://vpn.rogerxlj.top:9998/udp/239.45.3.196:5140 -- 0.17 MB/s
欢笑剧场,http://home.qingyuga.com:8888/udp/239.45.3.196:5140 -- 0.26 MB/s
欢笑剧场（备）,http://www.rogerxlj.top:9998/udp/239.45.1.4:5140 -- 0.00 MB/s
欢笑剧场（备）,http://pal.rogerxlj.top:9998/udp/239.45.1.4:5140 -- 0.31 MB/s
欢笑剧场（备）,http://180.173.49.34:8888/udp/239.45.1.4:5140 -- 0.43 MB/s
欢笑剧场（备）,http://home.qingyuga.com:8888/udp/239.45.1.4:5140 -- 0.29 MB/s
欢笑剧场（备）,http://101.81.79.180:8888/udp/239.45.1.4:5140 -- 0.28 MB/s
欢笑剧场（备）,http://vpn.rogerxlj.top:9998/udp/239.45.1.4:5140 -- 0.17 MB/s
欢笑剧场（备）,http://114.95.156.205:4022/udp/239.45.1.4:5140 -- 0.42 MB/s
法治天地,http://home.qingyuga.com:8888/udp/239.45.1.46:5140 -- 0.43 MB/s
法治天地,http://www.rogerxlj.top:9998/udp/239.45.1.46:5140 -- 0.38 MB/s
法治天地,http://101.81.79.180:8888/udp/239.45.1.46:5140 -- 0.26 MB/s
法治天地,http://180.173.49.34:8888/udp/239.45.1.46:5140 -- 0.43 MB/s
